VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Median View Count,YouTube Recent Popularity,YouTube Recent Highest View Count,YouTube Recent Highest Viewed Video URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed Video URL
656455380d524045b9f75d6082563f94,6340,388047,375,125,8753,https://www.youtube.com/watch?v=SjuviKeYpNk,289,134,119,134,https://www.twitch.tv/videos/1643260906
9cec24b011ee45648eb404066c997f49,6230,21862,4242,1888,6764,https://www.youtube.com/watch?v=ijYQoh-tevA,0,0,0,0,
80f41a215cbc487b99f9015de3b58cf0,6190,225879,0,0,0,,0,0,0,0,
2d57d202ef8e46a5871302b944309bc2,6180,879604,422,378,1506,https://www.youtube.com/watch?v=z5skJZBEpSI,0,0,0,0,
2a5b6a733ac54aba9490db8f504378d1,6150,116015,193,114,240,https://www.youtube.com/watch?v=qTkRflhPI6Y,0,0,0,0,
3005ff0c09064d7f924c506e1e9c18ba,6130,181228,77,37,349,https://www.youtube.com/watch?v=lHNzW8J2tOQ,3037,1354,740,2296,https://www.twitch.tv/videos/1634947057
b57162e62056494d85f1743abdbad648,6120,188650,255,150,1256,https://www.youtube.com/watch?v=SuwatdI6Se4,0,0,0,0,
209a528363cd411886ec9e5d086ff1bc,6110,372994,459,188,12567,https://www.youtube.com/watch?v=yhqxHHHwxs8,466,0,0,0,
bdc034d3afcd4456b6da2b96a2e460ef,6110,175544,126,34,260,https://www.youtube.com/watch?v=MnZ3Lpo3p7U,1198,91,67,137,https://www.twitch.tv/videos/1637811699
c163cb7f683c453fa8a994ebbb09ede8,6040,223512,755,501,922,https://www.youtube.com/watch?v=smFzbSp6XHY,0,0,0,0,
557a590ea9764e8c99e72415d1837d52,6000,153356,1152,515,2230,https://www.youtube.com/watch?v=EQ5dof1qAJU,0,0,0,0,
